MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     302.74771 s         8/30/2019 3:23:48 PM
Data Acquisition: Timed
Station Name: Default.cfg
Test File Name: Untitled test
Running Time Axial Force Axial Displacement
s         N         mm
29.613932 -100.42586 -0.33001378
29.813965 -98.988266 -0.32957867
30.013998 -103.07338 -0.33055916
30.214029 -100.44005 -0.33015907
30.414063 -103.10568 -0.32939836
30.614096 -103.27943 -0.32932386
30.814127 -102.63692 -0.32931566
31.01416  -100.1161 -0.3299132
31.214193 -99.889076 -0.33019707
31.414225 -101.47099 -0.32992288
31.614258 -100.6338 -0.33036917
31.814291 -99.348572 -0.330244
32.014324 -98.668709 -0.32998845
32.214355 -100.21716 -0.32931492
32.414387 -100.80025 -0.32952577
32.614422 -101.65915 -0.33039376
32.814453 -99.926178 -0.3299132
33.014484 -100.78885 -0.33014044
33.21452  -100.95984 -0.32897964
33.414551 -102.59814 -0.33012107
33.614582 -99.744049 -0.32954365
33.814617 -102.2086 -0.33028796
34.014648 -99.77594 -0.32982975
34.21468  -99.904724 -0.33035725
34.414715 -102.31577 -0.33030808
34.614746 -101.60051 -0.33021197
34.814777 -100.37784 -0.33011138
35.014812 -102.06074 -0.32952353
35.214844 -100.83675 -0.33003017
35.414875 -101.08706 -0.3303878
35.61491  -101.90655 -0.32949969
35.814941 -99.482872 -0.33029318
36.014973 -101.5288 -0.33045113
36.215008 -100.14057 -0.33029765
36.415039 -99.786148 -0.33058599
36.61507  -102.0715 -0.32952353
36.815105 -101.94183 -0.33173338
37.015137 -102.17752 -0.3295593
37.215168 -103.62081 -0.33241734
37.415203 -105.43465 -0.34025609
37.615234 -110.07238 -0.34749359
37.815266 -108.88871 -0.355497
38.015301 -113.16824 -0.35959035
38.215332 -112.61295 -0.36304146
38.415363 -113.18371 -0.36896542
38.615398 -116.26091 -0.37675351
38.81543  -117.72681 -0.38226917
39.015461 -121.5357 -0.38634688
39.215496 -122.7422 -0.39290637
39.415527 -125.44585 -0.40169954
39.615559 -126.99377 -0.40809885
39.815594 -129.56783 -0.41532964
40.015625 -130.86122 -0.42321309
40.215656 -134.43294 -0.43034256
40.415691 -132.57649 -0.43466613
40.615723 -137.10069 -0.43985546
40.815754 -138.6758 -0.4472509
41.015789 -140.69688 -0.4522875
41.21582  -144.09952 -0.45957938
41.415852 -142.31667 -0.46031475
41.615887 -143.96561 -0.46363473
41.815918 -146.72101 -0.46857148
42.015949 -148.0721 -0.47395378
42.215984 -149.78946 -0.4797928
42.416016 -151.28285 -0.4842639
42.616047 -152.50974 -0.48831552
42.816082 -152.98061 -0.49435198
43.016113 -156.56888 -0.49933568
43.216145 -156.56337 -0.50194192
43.41618  -157.48587 -0.50029683
43.616211 -160.09715 -0.50305724
43.816242 -161.38655 -0.50750375
44.016277 -162.89738 -0.51212537
44.216309 -164.11302 -0.51923466
44.41634  -163.23   -0.52571446
44.616375 -165.86526 -0.52991581
44.816406 -167.38928 -0.53073615
45.016438 -168.43486 -0.53422004
45.216473 -169.06154 -0.5389415
45.416504 -168.84587 -0.5429849
45.616535 -172.63028 -0.54820108
45.81657  -174.66264 -0.55197179
46.016602 -177.35582 -0.55771768
46.216633 -176.83774 -0.56090724
46.416668 -176.28181 -0.56123435
46.616699 -177.18556 -0.55977404
46.81673  -177.56253 -0.56028736
47.016766 -180.16774 -0.56490076
47.216797 -183.12413 -0.57177693
47.416828 -183.14682 -0.57728142
47.616863 -184.20132 -0.58153719
47.816895 -186.81206 -0.58889985
48.016926 -186.56346 -0.59028494
48.216961 -186.50078 -0.59046596
48.416992 -188.52371 -0.59294701
48.617023 -190.16579 -0.59515834
48.817059 -190.36133 -0.60120749
49.01709  -192.52539 -0.60555267
49.217121 -195.55353 -0.61028969
49.417156 -191.57056 -0.61096919
49.617188 -195.87952 -0.61048567
49.817219 -192.80913 -0.61175895
50.017254 -196.57823 -0.6167568
50.217285 -198.5267 -0.61895776
50.417316 -197.89897 -0.6207794
50.617352 -195.85519 -0.62022877
50.817383 -196.56587 -0.62097758
51.017414 -197.48003 -0.61962676
51.217449 -198.1492 -0.62174201
51.41748  -199.15862 -0.62369478
51.617512 -197.37437 -0.62837452
51.817547 -200.76576 -0.6289624
52.017578 -199.86722 -0.63099194
52.217609 -201.89658 -0.63066709
52.417645 -200.22852 -0.62914562
52.617676 -200.48253 -0.63216984
52.817707 -201.83804 -0.63566118
53.017742 -202.85345 -0.6417073
53.217773 -206.35008 -0.63946617
53.417805 -205.1387 -0.63942301
53.61784  -202.17673 -0.63921511
53.817871 -203.60172 -0.64158809
54.017902 -201.58696 -0.6413579
54.217937 -202.74982 -0.64018071
54.417969 -203.65221 -0.64009726
54.618    -201.93619 -0.64178777
54.818035 -203.97749 -0.64000338
55.018066 -203.04311 -0.6403625
55.218098 -202.93355 -0.64166415
55.418133 -204.24324 -0.63993561
55.618164 -204.38567 -0.64033717
55.818195 -204.15453 -0.64008462
56.01823  -204.15694 -0.63979697
56.218262 -205.44943 -0.63937902
56.418293 -202.57724 -0.63909221
56.618328 -203.58455 -0.63936114
56.818359 -202.94621 -0.64051521
